fnummer,personstatus,fornavn,etternavn,kjoenn,foedselsdato,postnummer
16829198367,BOSATT,Intrikat,Innhegning,MANN,1991-02-16,0590
16832849247,BOSATT,Håndfast,Ambassadefunksjonær,KVINNE,1928-03-16,1482
16859799802,BOSATT,Nybakt,Hjelm,KVINNE,1997-05-16,9388
16862648734,BOSATT,Direkte,Merr,MANN,1926-06-16,1430
16869499254,BOSATT,Aktiv,Hauk,KVINNE,1994-06-16,3697
16872349565,BOSATT,Ekstra,Ungdom,MANN,1923-07-16,7760
16872949732,BOSATT,Foretaksom,Person,MANN,1929-07-16,0890
16881349527,BOSATT,Uselvstendig,Snøball,MANN,1913-08-16,9011
16891849420,BOSATT,Nyttig,Bris,KVINNE,1918-09-16,3187
16898698606,BOSATT,Episk,Kost,KVINNE,1986-09-16,6770
16910298201,BOSATT,Komfortabel,Bjørnunge,KVINNE,2002-11-16,3616
16914998593,BOSATT,Nonfigurativ,Leppe,MANN,1949-11-16,5132
16929598702,BOSATT,Familiær,Feltstol,MANN,1995-12-16,4635
17816197961,BOSATT,Juridisk,Badekar,MANN,1961-01-17,7650
17829397897,BOSATT,Flyktig,Telefonkatalog,KVINNE,1993-02-17,5981
17832149098,BOSATT,Muskuløs,Besteforelder,KVINNE,1921-03-17,6445
17833348345,BOSATT,Kjærlig,Apanasje,MANN,1933-03-17,0382
17844299079,BOSATT,Nett,Hare,KVINNE,1942-04-17,7224
17852649062,BOSATT,Idiotsikker,Onsdag,KVINNE,1926-05-17,1672
17853648388,BOSATT,Gjennomsiktig,Alarm,MANN,1936-05-17,3239
17878199707,BOSATT,Original,Opportunist,MANN,1981-07-17,5585
17882248194,BOSATT,Kunstig,Foxtrot,MANN,1922-08-17,2819
17895097004,BOSATT,Reflekterende,Kokkekniv,KVINNE,1950-09-17,7760
17899197542,BOSATT,Ansvarsfull,Tusenfryd,MANN,1991-09-17,8470
17905796518,BOSATT,Fornøyd,Voks,MANN,1957-10-17,3804
17912849678,BOSATT,Plutselig,Neve,KVINNE,1928-11-17,7760
17920198724,BOSATT,Uinteressert,Kontroll,MANN,2001-12-17,1283
18829099108,BOSATT,Velkommen,Biograf,MANN,1990-02-18,4869
18834197924,BOSATT,Deilig,Svoger,MANN,1941-03-18,1165
18838796997,BOSATT,Ekstra,Hobby,MANN,1987-03-18,3055
18863649958,BOSATT,Handlekraftig,Delmengde,MANN,1936-06-18,0585
18865797776,BOSATT,Tykkhudet,Dal,MANN,1957-06-18,1860
18869697091,BOSATT,Forsiktig,Mann,KVINNE,1996-06-18,1511
18873149791,BOSATT,Dobbel,Helikopter,MANN,1931-07-18,6096
18882349957,BOSATT,Umake,Kulepenn,MANN,1923-08-18,7290
18894197974,BOSATT,Oppstemt,Støvlett,MANN,1941-09-18,5109
18894199985,BOSATT,Viljesterk,Korgstol,MANN,1941-09-18,2662
18894297642,BOSATT,Gåen,Farsott,KVINNE,1942-09-18,0257
18898895498,BOSATT,Uromantisk,Bøylehest,KVINNE,1988-09-18,6674
18923249377,BOSATT,Samlet,Kai,MANN,1932-12-18,2372
19830249373,BOSATT,Underlig,Jubilant,MANN,1902-03-19,8198
19852949336,BOSATT,Etterpåklok,Kunst,MANN,1929-05-19,5230
19854797797,BOSATT,Berikende,Serviett,MANN,1947-05-19,3300
19869598499,BOSATT,Tøff,Hotelldirektør,KVINNE,1995-06-19,7629
19872547846,BOSATT,Rød,Kompetanse,KVINNE,1925-07-19,2322
19877495364,BOSATT,Oppjaget,Gyngestol,MANN,1974-07-19,3188
19887197302,BOSATT,Musikalsk,Akselerator,MANN,1971-08-19,9100
19890849329,BOSATT,Husløs,Svigerdatter,MANN,1908-09-19,3744
19890898478,BOSATT,Kort,Aktivitet,KVINNE,2008-09-19,3804
19891448832,BOSATT,Fysisk,Bit,KVINNE,1914-09-19,3018
19892849547,BOSATT,Hensiktsmessig,Jungel,MANN,1928-09-19,1672
19893349319,BOSATT,Kunnskapsrik,Pose,MANN,1933-09-19,5147
19897496480,BOSATT,Demokratisk,Oppvartning,KVINNE,1974-09-19,6600
19907698885,BOSATT,Skeptisk,Altmuligmann,KVINNE,1976-10-19,0667
19914497208,BOSATT,Aktverdig,Fetter,KVINNE,1944-11-19,1165
19923549016,BOSATT,Ufølsom,Apanasje,KVINNE,1935-12-19,3660
20821749930,BOSATT,Typisk,Biografi,MANN,1917-02-20,6610
20848395340,BOSATT,Ung,Reise,MANN,1983-04-20,0374
20863749019,BOSATT,Berømt,Linjal,KVINNE,1937-06-20,3239
20863948186,BOSATT,Jordnær,Stund,MANN,1939-06-20,5986
20864298959,BOSATT,Fin,Kanon,MANN,1942-06-20,4724
20867896342,BOSATT,Sorgløs,Beundring,MANN,1978-06-20,7760
20894397994,BOSATT,Skapende,Liggestol,MANN,1943-09-20,2818
20908499957,BOSATT,Ivrig,Lugg,MANN,1984-10-20,0760
20913749430,BOSATT,Klartenkt,Granitt,KVINNE,1937-11-20,1084
20918696246,BOSATT,Demokratisk,Kommentar,KVINNE,1986-11-20,6610
20922149306,BOSATT,Kvadratisk,Turbin,MANN,1921-12-20,0679
20922849928,BOSATT,Fjång,Mage,MANN,1928-12-20,1516
21811299151,BOSATT,Impulsiv,Kontakt,MANN,2012-01-21,7760
21822948399,BOSATT,Konkret,Bølge,MANN,1929-02-21,3579
21823349448,BOSATT,Varm,Flyttelass,KVINNE,1933-02-21,3540
21827295946,BOSATT,Håndlaget,Kvinne,MANN,1972-02-21,2760
21828396517,BOSATT,Hel,Planet,MANN,1983-02-21,7020
21854795179,BOSATT,Misfornøyd,Dørslag,MANN,1947-05-21,7760
21863748930,DOED,Utrolig,Gebursdag,MANN,1937-06-21,1365
21866595930,BOSATT,Aldrende,Million,MANN,1965-06-21,2022
21883348513,BOSATT,Innbringende,Marg,MANN,1933-08-21,8640
21898997518,BOSATT,Masse,Sanddyne,MANN,1989-09-21,4634
21900649565,BOSATT,Kjærlig,Saus,MANN,1906-10-21,2006
21919999737,BOSATT,Inkonsekvent,Pumpe,MANN,1999-11-21,6926
21924897098,BOSATT,Akseptabel,Plyndring,KVINNE,1948-12-21,8250
22811649817,BOSATT,Sliten,Fille,KVINNE,1916-01-22,8522
22813548473,BOSATT,Smul,Tunge,KVINNE,1935-01-22,3917
22822748124,BOSATT,Varm,Pappa,MANN,1927-02-22,1659
22822948832,BOSATT,Aktverdig,Plikt,KVINNE,1929-02-22,3579
22825298561,BOSATT,Pompøs,Medvind,MANN,1952-02-22,3158
22830348194,BOSATT,Rektangulær,Maktperson,MANN,1903-03-22,6674
22836797276,BOSATT,Fordekt,Fantasi,KVINNE,1967-03-22,2750
22836996252,BOSATT,Tilfeldig,Lakris,KVINNE,1969-03-22,0258
22851949678,BOSATT,Hyggelig,Påpakning,KVINNE,1919-05-22,5382
22852649139,BOSATT,Lyselilla,Greve,MANN,1926-05-22,5142
22853948326,BOSATT,Materialistisk,Penge,MANN,1939-05-22,3241
22862049466,BOSATT,Sunn,Liggestol,KVINNE,1920-06-22,6610
22871349219,BOSATT,Masse,Dokumentar,KVINNE,1913-07-22,0371
22873249335,BOSATT,Forskjellig,Pause,MANN,1932-07-22,3919
22874099698,BOSATT,Subjektiv,Base,KVINNE,1940-07-22,7092
22881547663,BOSATT,Tilfeldig,Stjerne,KVINNE,1915-08-22,9011
22883348633,BOSATT,Utnyttende,Leveregel,KVINNE,1933-08-22,0381
22883547024,BOSATT,Munter,Mast,KVINNE,1935-08-22,2372
22887395512,BOSATT,Fryktløs,Toppskarv,MANN,1973-08-22,5918
22890099150,BOSATT,Risikabel,Kalddusj,MANN,2000-09-22,4137
22920249268,BOSATT,Observant,Alligator,KVINNE,1902-12-22,4632
22923549386,BOSATT,Freidig,Volleyball,MANN,1935-12-22,3917
22925499416,BOSATT,Sivilisert,Pause,KVINNE,1954-12-22,6440
23813049635,BOSATT,Tilbakeholden,Hunkatt,KVINNE,1930-01-23,0150
23813449609,BOSATT,Pen,Fyrstikk,KVINNE,1934-01-23,5111
23830699236,BOSATT,Relevant,Jeans,KVINNE,2006-03-23,1394
23853248843,BOSATT,Viktig,Antilope,KVINNE,1932-05-23,2319
23869697834,BOSATT,Streng,Rose,KVINNE,1996-06-23,5585
23872348816,BOSATT,Produktiv,Maleri,KVINNE,1923-07-23,1880
23872849009,BOSATT,Solid,Porsjon,KVINNE,1928-07-23,0890
23874198773,BOSATT,Vaklende,Røyskatt,MANN,1941-07-23,6100
23903449314,BOSATT,Skamfull,Harpe,MANN,1934-10-23,5111
23904399264,BOSATT,Lysegul,Grevling,KVINNE,1943-10-23,4032
23913149866,BOSATT,Intelligent,Jordbær,KVINNE,1931-11-23,5535
23917899819,BOSATT,Farlig,Fyrstikk,KVINNE,1978-11-23,3035
23921298536,BOSATT,Dogmatisk,Frukthage,MANN,2012-12-23,2827
23924098589,BOSATT,Stabil,Legevakt,MANN,1940-12-23,4640
24811849231,BOSATT,Overfladisk,Bakkeklaring,KVINNE,1918-01-24,7100
24822749743,BOSATT,Gjensidig,Arkiv,MANN,1927-02-24,3186
24824499841,BOSATT,Slem,Avslutning,KVINNE,1944-02-24,2662
24829197223,BOSATT,Operativ,Bakgrunn,KVINNE,1991-02-24,3697
24832148853,BOSATT,Initiativrik,Juni,KVINNE,1921-03-24,3060
24879498372,BOSATT,Spiss,Bytte,MANN,1994-07-24,0982
24882049686,BOSATT,Integrert,Avarisk,KVINNE,1920-08-24,3613
24889597085,BOSATT,Selvtilfreds,Bøffel,KVINNE,1995-08-24,5685
24900198384,BOSATT,Dyrebar,Grevling,MANN,2001-10-24,8382
24901548443,BOSATT,Gylden,Abbor,KVINNE,1915-10-24,3580
24905096989,BOSATT,Hevngjerrig,Palme,MANN,1950-10-24,8250
24927695975,BOSATT,Uselvstendig,Betaling,MANN,1976-12-24,3511
25818798477,BOSATT,Veik,Jordmor,KVINNE,1987-01-25,1165
25820199491,BOSATT,Gnien,Bølge,KVINNE,2001-02-25,5585
25821649814,BOSATT,Riktig,Målsetting,KVINNE,1916-02-25,5548
25828699078,BOSATT,Inkonsekvent,Pes,KVINNE,1986-02-25,9445
25835597647,BOSATT,Tilbakeholden,Interesse,KVINNE,1955-03-25,4817
25838199669,BOSATT,Lattermild,Karusell,KVINNE,1981-03-25,4707
25845498671,BOSATT,Ung,Overstyring,KVINNE,1954-04-25,7590
25859797914,BOSATT,Stor,Kortstokk,MANN,1997-05-25,7760
25872249748,BOSATT,Venstre,Herre,MANN,1922-07-25,2760
25880449985,BOSATT,Tilfeldig,Algoritme,MANN,1904-08-25,4632
25881149284,BOSATT,Glupsk,Klaustrofobi,KVINNE,1911-08-25,7656
25890398599,BOSATT,Husløs,Folk,MANN,2003-09-25,9445
25897397288,BOSATT,Oppjaget,Duk,KVINNE,1973-09-25,7898
25897797413,BOSATT,Skrivefør,Bokorm,KVINNE,1977-09-25,4540
25897897949,BOSATT,Parisk,Toppskarv,MANN,1978-09-25,1338
25901749399,BOSATT,Kunnskapsrik,Klappstol,MANN,1917-10-25,2312
25918999402,BOSATT,Patent,Andrefiolin,KVINNE,1989-11-25,7240
25924497060,BOSATT,Grei,Dialekt,KVINNE,1944-12-25,9194
26831197780,BOSATT,Mett,Kostnad,MANN,2011-03-26,3804
26833049894,BOSATT,Forsiktig,Brøkstrek,KVINNE,1930-03-26,3404
26834099836,BOSATT,Real,Litteratur,KVINNE,1940-03-26,2090
26835396346,BOSATT,Motløs,Banjo,MANN,1953-03-26,3717
26838199002,BOSATT,Overbevisende,Frosk,KVINNE,1981-03-26,3727
26839699459,BOSATT,Sitrongul,Fattigmannskost,KVINNE,1996-03-26,2819
26845299462,BOSATT,Grei,Alarm,KVINNE,1952-04-26,6774
26869397112,BOSATT,Dedikert,Merr,MANN,1993-06-26,5585
26874196346,DOED,Oppklarende,Bensinstasjon,MANN,1941-07-26,3223
26877599018,BOSATT,Sorgløs,Regel,KVINNE,1975-07-26,3720
26882449628,BOSATT,Oppgitt,Gullmynt,KVINNE,1924-08-26,2008
26883049259,BOSATT,Skapende,Kanin,KVINNE,1930-08-26,1083
26889898657,BOSATT,Ulastelig,Klappstol,KVINNE,1998-08-26,5783
26893547494,BOSATT,Kjær,Aprilsnarr,KVINNE,1935-09-26,1940
26915498255,BOSATT,Raffinert,Saks,KVINNE,1954-11-26,3717
26923049338,BOSATT,Opprettholdende,Handleliste,MANN,1930-12-26,9700
27833849870,BOSATT,Raffinert,Tiger,KVINNE,1938-03-27,3181
27839299414,BOSATT,Lun,Søndag,KVINNE,1992-03-27,7056
27844197794,BOSATT,Gøyal,Vurdering,MANN,1941-04-27,3783
27871949471,BOSATT,Lystig,Flekk,KVINNE,1919-07-27,4334
27892247523,BOSATT,Presis,Kahytt,MANN,1922-09-27,3060
27893148758,BOSATT,Ravgul,Lunge,MANN,1931-09-27,0381
27902048575,BOSATT,Hensiktsmessig,Flod,MANN,1920-10-27,7100
27903149065,BOSATT,Flink,Adelsmann,KVINNE,1931-10-27,2420
27924496245,BOSATT,Motivert,Kveldsmat,KVINNE,1944-12-27,3223
27925498527,BOSATT,Oppriktig,Klinkekule,MANN,1954-12-27,9055
28812349998,BOSATT,Kvadratisk,Gallupmåling,MANN,1923-01-28,2008
28852949378,BOSATT,Langfingret,Regle,MANN,1929-05-28,7760
28854598076,BOSATT,Tydelig,Ellipse,KVINNE,1945-05-28,2818
28873348749,BOSATT,Oriental,Sild,MANN,1933-07-28,4311
28873748631,BOSATT,Sensitiv,Katt,KVINNE,1937-07-28,3802
28878298944,BOSATT,Initiativrik,Melding,MANN,1982-07-28,0490
28884497827,BOSATT,Fornem,Bille,KVINNE,1944-08-28,6100
28888499417,BOSATT,Fattet,Eggeplomme,KVINNE,1984-08-28,3218
28897296723,BOSATT,Logisk,System,MANN,1972-09-28,9950
28900199629,BOSATT,Offisiell,Karaffel,KVINNE,2001-10-28,4110
28903747856,BOSATT,Stor,Pleie,KVINNE,1937-10-28,1365
28925998550,BOSATT,Kostbar,Ert,MANN,1959-12-28,1880
29813248040,BOSATT,Populær,Overskrift,KVINNE,1932-01-29,0382
29840298645,BOSATT,Sigen,Sum,KVINNE,2002-04-29,6770
29851099415,BOSATT,Smiskende,Akterdekk,KVINNE,2010-05-29,1394
29853148170,BOSATT,Gratis,Februar,MANN,1931-05-29,2420
29872949397,BOSATT,Bra,Sure,MANN,1929-07-29,1538
29878199241,BOSATT,Bevisst,Plante,KVINNE,1981-07-29,5533
29881749589,BOSATT,God,Dromedar,MANN,1917-08-29,3697
29907398399,BOSATT,Allmektig,Jurist,MANN,1973-10-29,7020
29914597542,BOSATT,Hellig,Ingress,MANN,1945-11-29,4032
29920347655,BOSATT,Ansvarsfull,Tunge,KVINNE,1903-12-29,5261
29921348558,BOSATT,Utnyttende,Besteforelder,MANN,1913-12-29,3580
30813048724,BOSATT,Overfladisk,Sko,MANN,1930-01-30,1528
30846197415,BOSATT,Omsorgsfull,Fiskebolle,KVINNE,1961-04-30,7170
30847697942,BOSATT,Voksende,Undulat,MANN,1976-04-30,6896
30850299397,BOSATT,Hellig,Korgstol,MANN,2002-05-30,8370
30863848489,BOSATT,Lys,Bry,KVINNE,1938-06-30,5643
30865398898,BOSATT,Nødvendig,Bjørkefink,KVINNE,1953-06-30,1387
30889697616,BOSATT,Elastisk,Syndebukk,KVINNE,1996-08-30,5986
30908499413,BOSATT,Lei,Onkel,KVINNE,1984-10-30,6386
30909998723,BOSATT,Intrikat,Tradisjon,MANN,1999-10-30,9022
30914996852,BOSATT,Hyppig,Jakt,KVINNE,1949-11-30,3536
30918399735,BOSATT,Opprett,Vane,MANN,1983-11-30,4745
30929498204,BOSATT,Utakknemlig,Tanke,KVINNE,1994-12-30,0768
31810999201,BOSATT,Elektronisk,Handelsmann,KVINNE,2009-01-31,7898
31830249403,BOSATT,Uvitende,Pannekake,KVINNE,1902-03-31,6674
31850849822,BOSATT,Tøff,Avokado,KVINNE,1908-05-31,2006
31855899453,BOSATT,Nysgjerrig,Folk,KVINNE,1958-05-31,1880
31858497887,BOSATT,Praktisk,Granskning,KVINNE,1984-05-31,7980
31880398280,BOSATT,Emosjonell,Fobi,KVINNE,2003-08-31,7042
31882749323,BOSATT,Effektiv,Strømpebukse,MANN,1927-08-31,1482
31889097801,BOSATT,Turkis,Presentasjon,KVINNE,1990-08-31,2383
31900898102,BOSATT,Familiær,Bror,MANN,2008-10-31,3511
31906196991,BOSATT,Festlig,Tannbørste,MANN,1961-10-31,2383
31922847250,BOSATT,Utørst,Lind,KVINNE,1928-12-31,0668
31925196358,BOSATT,Ungt,Solbær,MANN,1951-12-31,0374
01810948996,BOSATT,Smigrende,Adventskalender,MANN,1909-10-08,0655
01816198840,BOSATT,Redelig,Kortstokk,KVINNE,1961-01-01,1157
01820449513,BOSATT,Sky,Bringe,MANN,1904-02-01,2680
01820699579,BOSATT,Spesiell,Presse,MANN,2006-02-01,0750
01825097674,BOSATT,Sosial,Habitt,KVINNE,1950-02-01,9405
01825499063,BOSATT,Fruktbar,Bokorm,KVINNE,1954-02-01,4085
01826897488,BOSATT,Juridisk,Loddsnor,KVINNE,1968-02-01,2022
01845599498,BOSATT,Iherdig,Kjepphest,KVINNE,1955-04-01,2016
01846198144,BOSATT,Reservert,Snegle,MANN,1961-04-01,7540
01848098937,BOSATT,Autorisert,Lunsj,MANN,1980-04-01,3610
01850999925,BOSATT,Betydelig,Kaktus,MANN,2009-05-01,5986
01855397516,BOSATT,Velkommen,Jord,MANN,1953-05-01,2848
01864598818,BOSATT,Ren,Konvolutt,KVINNE,1945-06-01,3370
01865598412,BOSATT,Ordentlig,Røyskatt,KVINNE,1955-06-01,1400
01866997388,BOSATT,Upraktisk,Bit,MANN,1969-06-01,1960
01867498458,BOSATT,Direkte,Frosk,KVINNE,1974-06-01,5585
01870349390,BOSATT,Knuslete,Beskjed,MANN,1903-07-01,3811
01875397334,BOSATT,Korrekt,Elg,MANN,1953-07-01,4916
01876798472,BOSATT,Kostbar,Lunge,KVINNE,1967-07-01,9845
01881048139,BOSATT,Velkommen,Pære,MANN,1910-08-01,4070
01881547844,BOSATT,Juridisk,Jordbruker,KVINNE,1915-08-01,4319
01882948125,BOSATT,Puslete,Kutte,MANN,1929-08-01,3616
01891098738,BOSATT,Liten,Fan,MANN,2010-09-01,0667
01891198678,BOSATT,Håndfast,Kalkulator,KVINNE,2011-09-01,1405
01906499998,BOSATT,Kald,Krage,MANN,1964-10-01,3579
01909398491,BOSATT,Uselvisk,Kjøttdeig,KVINNE,1993-10-01,4635
01910248827,BOSATT,Sjelden,Pusekatt,KVINNE,1902-11-01,0166
01911549006,BOSATT,Nødvendig,Foxtrot,KVINNE,1915-11-01,8475
01913249271,BOSATT,Parat,Pali,KVINNE,1932-11-01,1415
01916094503,BOSATT,Interessert,Omstilling,MANN,1960-11-01,3804
01920449057,BOSATT,Krass,Espressomaskin,KVINNE,1904-12-01,3140
01926796379,BOSATT,Hevngjerrig,Frase,MANN,1967-12-01,3057
01927097830,BOSATT,Dyr,Kakaobønne,KVINNE,1970-12-01,1743
02815897075,BOSATT,Sjenert,Felttog,KVINNE,1958-01-02,3178
02825697376,BOSATT,Alminnelig,Landsby,MANN,1956-02-02,6453
02826396981,BOSATT,Erfaren,Overstyring,MANN,1963-02-02,0658
02827094784,BOSATT,Akrobatisk,Sjøsetting,MANN,1970-02-02,4319
02829898538,BOSATT,Måteholden,Årstid,MANN,1998-02-02,2636
02832349235,BOSATT,Foretaksom,Klisjé,KVINNE,1923-03-02,2322
02834597155,BOSATT,Utydelig,Brødskive,MANN,1945-03-02,0774
02840049992,BOSATT,Håndlaget,Omelett,MANN,1900-04-02,5593
02840549634,BOSATT,Forstandig,Timeplan,KVINNE,1905-04-02,5235
02842349810,BOSATT,Hellig,Bukspyttkjertel,KVINNE,1923-04-02,2634
02855095400,BOSATT,Parisk,Bru,KVINNE,1950-05-02,2340
02861248987,BOSATT,Overnaturlig,Bakhjulsdrift,MANN,1912-06-02,3511
02875998091,BOSATT,Morsk,Skjorte,KVINNE,1959-07-02,4745
02878498324,BOSATT,Stadig,Flaskehals,MANN,1984-07-02,3950
02884498573,BOSATT,Urimelig,Ingress,MANN,1944-08-02,1912
02886798159,BOSATT,Pussig,Rose,MANN,1967-08-02,9609
02887598307,BOSATT,Taktfull,Januar,MANN,1975-08-02,8475
02894997411,BOSATT,God,Busk,KVINNE,1949-09-02,6140
02895499032,BOSATT,Beskjeden,Oversikt,KVINNE,1954-09-02,6475
02896398760,BOSATT,Ordentlig,Oppvaskmaskin,MANN,1963-09-02,6600
02896997044,BOSATT,Hensiktsmessig,Salamander,KVINNE,1969-09-02,6686
02897398799,BOSATT,Forståelsesfull,Kam,MANN,1973-09-02,3175
02898299328,BOSATT,Opprømt,Komedie,MANN,1982-09-02,1808
02904796533,BOSATT,Snål,Busk,MANN,1947-10-02,2022
02910848790,BOSATT,Åpen,Autoritet,MANN,1908-11-02,0598
02911399108,BOSATT,Håndfast,Medaljong,MANN,2013-11-02,3186
02915498186,BOSATT,Smiskende,Byregion,MANN,1954-11-02,1639
02916096634,BOSATT,Produktiv,Bu,KVINNE,1960-11-02,4737
02916198232,BOSATT,Oppfarende,Måne,KVINNE,1961-11-02,2264
02917697704,BOSATT,Trådløs,Kar,MANN,1976-11-02,5522
02920248937,BOSATT,Spontan,Bakhjulsdrift,MANN,1902-12-02,4828
02926898097,BOSATT,Utstrakt,Minibank,KVINNE,1968-12-02,1860
02926995203,BOSATT,Litt,Kontrast,KVINNE,1969-12-02,2580
02929899299,BOSATT,Naturlig,Formiddag,KVINNE,1998-12-02,1608
03810749635,BOSATT,Sensitiv,Lapp,KVINNE,1907-01-03,3629
03816498790,BOSATT,Kompetent,Torn,MANN,1964-01-03,1481
03816897547,BOSATT,Perfekt,Forsøkskanin,MANN,1968-01-03,1163
03816996693,BOSATT,Utnyttende,Puddel,KVINNE,1969-01-03,9404
03822098532,BOSATT,Intuitiv,Informasjon,MANN,2020-02-03,1930
03824097886,BOSATT,Lav,Kakaobønne,KVINNE,1940-02-03,1484
03833849882,BOSATT,Fryktsom,Arbeidskraft,KVINNE,1938-03-03,6512
03842048841,BOSATT,Unormal,Kveld,KVINNE,1920-04-03,7690
03846499473,BOSATT,Selvhjulpen,Jernbane,KVINNE,1964-04-03,5179
03849798455,BOSATT,Håndfast,Ambassadefunksjonær,KVINNE,1997-04-03,4617
03854498613,BOSATT,Sjokkert,Statist,KVINNE,1944-05-03,7549
03856895768,BOSATT,Gild,Handelsflåte,MANN,1968-05-03,7507
03857599240,BOSATT,Varm,Postnummer,KVINNE,1975-05-03,2409
03865996100,BOSATT,Fordekt,Scene,MANN,1959-06-03,5059
03868098057,BOSATT,Alternativ,Adresse,KVINNE,1980-06-03,1940
03886197550,BOSATT,Dogmatisk,Oppslutning,MANN,1961-08-03,3269
03890049639,BOSATT,Trådløs,Moskus,KVINNE,1900-09-03,5300
03894698100,BOSATT,Akrobatisk,Fred,MANN,1946-09-03,9020
03896797718,BOSATT,Logisk,Pose,MANN,1967-09-03,3189
03898898236,BOSATT,Puslete,Kamel,KVINNE,1988-09-03,7760
03899398199,BOSATT,Morsk,Såpe,MANN,1993-09-03,0774
03901948002,BOSATT,Halv,Alge,KVINNE,1919-10-03,2040
03905997830,BOSATT,Sitrongul,Bokstav,KVINNE,1959-10-03,4950
03907797774,BOSATT,Gjensidig,Brudgom,MANN,1977-10-03,5137
03909096234,BOSATT,Kunnskapsløs,Lørdag,KVINNE,1990-10-03,8300
03916299671,BOSATT,Ungt,Kamel,KVINNE,1962-11-03,1285
03921949633,BOSATT,Livstrett,Føflekk,KVINNE,1919-12-03,9159
03922648572,BOSATT,Gjestfri,Gran,MANN,1926-12-03,4790
03928296147,BOSATT,Ubestikkelig,Farfar,MANN,1982-12-03,7980
04810347428,BOSATT,Konsekvent,Handlekraft,KVINNE,1903-01-04,3174
04810449530,BOSATT,Impulsiv,Asterisk,MANN,1904-01-04,1368
04814697407,BOSATT,Sjokkert,Eik,KVINNE,1946-01-04,9519
04816096664,BOSATT,Firkantet,Nevø,KVINNE,1960-01-04,9012
04816196847,BOSATT,Ustabil,Kornsirkel,KVINNE,1961-01-04,9055
04816395319,BOSATT,Matt,Ettermiddag,MANN,1963-01-04,2022
04818399397,BOSATT,Fersk,Alderdom,MANN,1983-01-04,5986
04828497206,BOSATT,Spiss,Hestesko,KVINNE,1984-02-04,7340
04829498109,BOSATT,Uvitende,Kyststi,MANN,1994-02-04,0768
04832047754,BOSATT,Ledende,Brudgom,MANN,1920-03-04,3047
04837096672,BOSATT,Gild,Flamme,KVINNE,1970-03-04,8157
04843448378,BOSATT,Ulogisk,Veps,MANN,1934-04-04,0576
04851449286,BOSATT,Utørst,Knapp,KVINNE,1914-05-04,4319
04853648995,BOSATT,Utstrakt,Føyke,MANN,1936-05-04,1560
04857699624,BOSATT,Gjennomsiktig,Trakt,KVINNE,1976-05-04,7760
04861198605,BOSATT,Skyfri,Vannmann,KVINNE,2011-06-04,9446
04867399823,BOSATT,Tru,Jente,KVINNE,1973-06-04,1346
04867496535,BOSATT,Sofistikert,Isbjørn,MANN,1974-06-04,5305
04869398239,BOSATT,Impulsiv,Hage,KVINNE,1993-06-04,5914
04870649946,BOSATT,Kald,Folk,MANN,1906-07-04,8516
04870799719,BOSATT,Juridisk,Balanse,MANN,2007-07-04,1476
04876395520,BOSATT,Kompetent,Lunge,MANN,1963-07-04,4013
04879499033,BOSATT,Lysegul,Formiddag,KVINNE,1994-07-04,7316
04893949610,BOSATT,Materialistisk,Dronning,KVINNE,1939-09-04,5179
04896799091,BOSATT,Fornem,Bakgrunn,KVINNE,1967-09-04,9446
04898697792,BOSATT,Sakte,Adjutant,MANN,1986-09-04,3652
04899999199,BOSATT,Egoistisk,Oppvaskmaskin,MANN,1999-09-04,5131
04904897316,BOSATT,Konvensjonell,Ansiktskrem,MANN,1948-10-04,4019
04907497831,BOSATT,Søvnig,Ektemann,KVINNE,1974-10-04,2608
04907798769,BOSATT,Kul,Kokeplate,MANN,1977-10-04,4790
04908896969,BOSATT,Forsiktig,Avdeling,MANN,1988-10-04,2383
04918898293,BOSATT,Tom,Anarkist,KVINNE,1988-11-04,4634
04921349667,BOSATT,Innbringende,Tragedie,KVINNE,1913-12-04,5235
04924199623,BOSATT,Grå,Bolle,KVINNE,1941-12-04,3420
04927898840,BOSATT,Neste,Flyvertinne,KVINNE,1978-12-04,3660
05815998059,BOSATT,Heldig,Biologi,KVINNE,1959-01-05,5535
05820698136,BOSATT,Gnien,Farsott,MANN,2006-02-05,5414
05821049271,BOSATT,Human,Trekkfugl,KVINNE,1910-02-05,0779
05828599358,BOSATT,Minkende,Bjørn,MANN,1985-02-05,1970
05834697345,BOSATT,Ekstra,Kokkekniv,MANN,1946-03-05,7039
05835597433,BOSATT,Upraktisk,Fole,KVINNE,1955-03-05,1185
05836398051,BOSATT,Grådig,Alderstrygd,KVINNE,1963-03-05,7650
05836496142,BOSATT,Allmektig,Muskel,MANN,1964-03-05,5003
05836998148,BOSATT,Varsom,Byregion,MANN,1969-03-05,5251
05837599905,BOSATT,Solid,Band,MANN,1975-03-05,6475
05845896854,BOSATT,Ufruktbar,Bibliotekar,KVINNE,1958-04-05,2480
05870049465,BOSATT,Konservativ,Dalside,KVINNE,1900-07-05,4810
05870049708,BOSATT,Hensynsfull,Tunnel,MANN,1900-07-05,3480
05884698512,BOSATT,Umoden,Bruktbil,MANN,1946-08-05,5729
05885296132,BOSATT,Rolig,Lørdag,MANN,1952-08-05,7590
05885398911,BOSATT,Hårsår,Baug,MANN,1953-08-05,6413
05892648370,BOSATT,Genierklært,Livsstil,MANN,1926-09-05,3697
05894998050,BOSATT,Uvirksom,Familiebarnehage,KVINNE,1949-09-05,5729
